"time","anomalies.detector_id","anomalies.diff"
"2015-08-25T15:10:31.000Z","3","5"
"2015-08-25T15:16:31.000Z","2","5"
"2015-08-25T15:18:01.000Z","2","-5"
"2015-08-25T15:39:01.000Z","3","5"
"2015-08-25T15:40:31.000Z","3","-5"
"2015-08-25T16:04:31.000Z","2","5"
"2015-08-25T16:06:01.000Z","2","-4"
"2015-08-25T16:10:31.000Z","3","5"
"2015-08-25T16:13:31.000Z","3","-5"
"2015-08-25T17:36:01.000Z","2","4"
"2015-08-25T17:37:31.000Z","2","-4"
"2015-08-26T09:28:31.000Z","67","22"
"2015-08-26T10:24:01.000Z","47","9"
"2015-08-26T12:06:01.000Z","25","17"
"2015-08-26T13:51:01.000Z","33","11"
"2015-08-26T14:00:01.000Z","28","-15"
"2015-08-26T15:04:31.000Z","3","5"
"2015-08-26T15:07:31.000Z","3","-5"
"2015-08-26T15:09:01.000Z","2","4"
"2015-08-26T16:09:01.000Z","2","4"
"2015-08-26T16:10:31.000Z","2","-4"
"2015-08-26T16:52:31.000Z","33","-13"
"2015-08-27T05:16:31.000Z","51","6"
"2015-08-27T13:40:31.000Z","33","-12"
"2015-08-27T14:48:01.000Z","33","15"
"2015-08-27T15:00:01.000Z","2","4"
"2015-08-27T15:06:01.000Z","2","5"
"2015-08-27T15:21:01.000Z","3","5"
"2015-08-27T15:22:31.000Z","3","-5"
"2015-08-27T16:07:31.000Z","2","-4"
"2015-08-28T12:49:31.000Z","2","-4"
"2015-08-28T13:42:01.000Z","2","4"
"2015-08-28T14:03:01.000Z","33","15"
"2015-08-29T10:55:31.000Z","19","15"
"2015-08-29T13:49:31.000Z","88","11"
"2015-08-30T05:21:01.000Z","51","10"
"2015-08-31T13:06:01.000Z","10","20"
"2015-08-31T15:03:01.000Z","3","-5"
"2015-08-31T15:04:31.000Z","3","5"
"2015-08-31T15:13:31.000Z","2","-4"
"2015-08-31T15:28:31.000Z","3","-5"
"2015-08-31T16:15:01.000Z","2","4"
"2015-08-31T16:16:31.000Z","2","-4"
"2015-09-01T11:10:31.000Z","2","4"
"2015-09-01T11:12:01.000Z","2","-4"
"2015-09-01T11:25:31.000Z","2","4"
"2015-09-01T11:27:01.000Z","2","-4"
"2015-09-01T14:40:31.000Z","33","-9"
"2015-09-01T15:12:01.000Z","3","-5"
"2015-09-01T15:15:01.000Z","3","5"
"2015-09-01T15:34:31.000Z","2","5"
"2015-09-02T07:43:31.000Z","2","4"
"2015-09-02T07:45:01.000Z","2","-4"
"2015-09-02T16:04:31.000Z","3","5"
"2015-09-02T16:09:01.000Z","3","-5"
"2015-09-03T13:24:01.000Z","3","-5"
"2015-09-03T13:33:01.000Z","2","4"
"2015-09-03T15:04:31.000Z","2","5"
"2015-09-03T15:09:01.000Z","3","5"
"2015-09-03T15:15:01.000Z","2","4"
"2015-09-03T15:31:31.000Z","3","5"
"2015-09-04T10:04:31.000Z","44","48"
"2015-09-04T10:52:31.000Z","3","-5"
"2015-09-04T13:01:31.000Z","3","5"
"2015-09-04T15:06:01.000Z","2","4"
"2015-09-04T15:07:31.000Z","2","-4"
"2015-09-04T15:19:31.000Z","3","-5"
"2015-09-06T18:57:01.000Z","79","22"
